Feature,Association,Strength
htn,Positive,0.6452906414648211
dm,Positive,0.6064067293053622
bgr,Positive,0.41630431885904984
pe,Positive,0.41308262478826285
bu,Positive,0.41229507244120334
appet,Negative,0.42961647140211
sod,Negative,-0.3612520779504548
pcv,Negative,-0.7149594783201385
sg,Negative,-0.7234330584746711
hemo,Negative,-0.762379232748079
