Metric,Value
True Negative,28
False Positive,1
False Negative,0
True Positive,51
Accuracy,0.9875
Misclassification rate,0.012499999999999956
Precision,0.9807692307692307
Recall,1.0
F1 Measure,0.9902912621359223
Specificity,0.9655172413793104
MCC,0.9731133552274452
AUC,1.0
Precision-Recall AUC,1.0
