Metric,Value
True Negative,29
False Positive,1
False Negative,1
True Positive,49
Accuracy,0.975
Misclassification rate,0.025000000000000022
Precision,0.98
Recall,0.98
F1 Measure,0.98
Specificity,0.9666666666666667
MCC,0.9466666666666667
AUC,0.9993333333333333
Precision-Recall AUC,0.9996078431372549
