Metric,Value
True Negative,26
False Positive,3
False Negative,6
True Positive,45
Accuracy,0.8875
Misclassification rate,0.11250000000000004
Precision,0.9375
Recall,0.8823529411764706
F1 Measure,0.9090909090909091
Specificity,0.896551724137931
MCC,0.7643157063581784
AUC,0.9617985125084517
Precision-Recall AUC,0.9782119056773038
