Metric,Value
True Negative,30
False Positive,0
False Negative,8
True Positive,42
Accuracy,0.9
Misclassification rate,0.09999999999999998
Precision,1.0
Recall,0.84
F1 Measure,0.9130434782608695
Specificity,1.0
MCC,0.8143450710459553
AUC,1.0
Precision-Recall AUC,1.0
